logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-3/n_models-20.log:| test                 | 0.5 (0.50)           | 0.9928       | 0.9500       | 0.9500       | 0.0500       | 0.0500       | 0.0500   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-3/n_models-25.log:| test                 | 0.5 (0.50)           | 0.9934       | 0.9500       | 0.9500       | 0.0500       | 0.0500       | 0.0500   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-3/n_models-30.log:| test                 | 0.5 (0.50)           | 0.9963       | 0.9750       | 0.9750       | 0.0500       | 0.0000       | 0.0250   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-3/n_models-35.log:| test                 | 0.5 (0.50)           | 0.9975       | 0.9625       | 0.9625       | 0.0500       | 0.0000       | 0.0250   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-3/n_models-40.log:| test                 | 0.5 (0.50)           | 0.9988       | 0.9750       | 0.9750       | 0.0250       | 0.0500       | 0.0375   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-3/n_models-45.log:| test                 | 0.5 (0.50)           | 0.9981       | 0.9750       | 0.9750       | 0.0500       | 0.0000       | 0.0250   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-3/n_models-50.log:| test                 | 0.5 (0.50)           | 0.9988       | 0.9875       | 0.9875       | 0.0250       | 0.0000       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-3/n_models-55.log:| test                 | 0.5 (0.50)           | 0.9988       | 0.9750       | 0.9750       | 0.0500       | 0.0000       | 0.0250   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-3/n_models-60.log:| test                 | 0.5 (0.50)           | 0.9975       | 0.9750       | 0.9750       | 0.0750       | 0.0250       | 0.0500   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-10.log:| test                 | 0.5 (0.50)           | 0.9988       | 0.9750       | 0.9750       | 0.0250       | 0.0500       | 0.0375   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-15.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9625       | 0.9625       | 0.0000       | 0.0750       | 0.0375   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-20.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9875       | 0.9875       | 0.0000       | 0.0250       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-25.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9875       | 0.9875       | 0.0000       | 0.0250       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-30.log:| test                 | 0.5 (0.50)           | 0.9994       | 0.9875       | 0.9875       | 0.0000       | 0.0250       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-35.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9875       | 0.9875       | 0.0000       | 0.0250       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-40.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9875       | 0.9875       | 0.0000       | 0.0250       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-45.log:| test                 | 0.5 (0.50)           | 0.9994       | 0.9875       | 0.9875       | 0.0000       | 0.0250       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-50.log:| test                 | 0.5 (0.50)           | 1.0000       | 1.0000       | 1.0000       | 0.0000       | 0.0000       | 0.0000   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-55.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9875       | 0.9875       | 0.0000       | 0.0250       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-4/n_models-60.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9875       | 0.9875       | 0.0000       | 0.0250       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-10.log:| test                 | 0.5 (0.50)           | 0.9981       | 0.9750       | 0.9750       | 0.0250       | 0.0250       | 0.0250   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-15.log:| test                 | 0.5 (0.50)           | 0.9981       | 0.9875       | 0.9875       | 0.0250       | 0.0000       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-20.log:| test                 | 0.5 (0.50)           | 0.9994       | 0.9875       | 0.9875       | 0.0250       | 0.0000       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-25.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9875       | 0.9875       | 0.0000       | 0.0000       | 0.0000   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-30.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9875       | 0.9875       | 0.0000       | 0.0000       | 0.0000   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-35.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9875       | 0.9875       | 0.0000       | 0.0000       | 0.0000   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-40.log:| test                 | 0.5 (0.50)           | 1.0000       | 1.0000       | 1.0000       | 0.0000       | 0.0000       | 0.0000   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-45.log:| test                 | 0.5 (0.50)           | 1.0000       | 1.0000       | 1.0000       | 0.0000       | 0.0000       | 0.0000   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-50.log:| test                 | 0.5 (0.50)           | 1.0000       | 1.0000       | 1.0000       | 0.0000       | 0.0000       | 0.0000   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-55.log:| test                 | 0.5 (0.50)           | 1.0000       | 0.9875       | 0.9875       | 0.0250       | 0.0000       | 0.0125   |
logs/livdet17_warsaw.Jan132020.meta_classification.0.meta_classification_from-labels.selection_algo-2/n_points-250.round-rodada7/fold-5/n_models-60.log:| test                 | 0.5 (0.50)           | 1.0000       | 1.0000       | 1.0000       | 0.0000       | 0.0000       | 0.0000   |
